Regulation	Section	Subsection	Sub-subsection	Article	Text	Explanation	
EBA/GL/2017/32	4. General estimation requirements 	4.2. Data requirements	4.2.2 Governance for data representativeness	17	In order to comply with the requirement of the representativeness of data used in the PD andLGD models specified in Articles 174(c), 179(1)(d) and 179(2)(b) of Regulation (EU) No575/2013 as well as in Articles 40 and 45 of the RTS on IRB assessment methodology,institutions should have sound policies, processes and methods for assessing therepresentativeness of data used for the purpose of estimation of risk parameters. Institutionsshould specify in their internal policies the statistical tests and metrics to be used for thepurpose of assessing the representativeness of data used for risk differentiation and,separately, for data underlying the risk quantification. Institutions should also specifymethods for qualitative assessment of data for the cases, defined in their policies, where theapplication of statistical tests is not possible.	explain this to me as im a 4 year old 	
EBA/GL/2017/33	4. General estimation requirements 	4.2. Data requirements	4.2.2 Governance for data representativeness	18	Institutions should use the same standards and methods for the assessment ofrepresentativeness of data stemming from different sources, including internal, external andpooled data or a combination of these, unless different methods are justified by thespecificity of the data source or availability of information.	explain this to me as im a 4 year old 	
EBA/GL/2017/34	4. General estimation requirements 	4.2. Data requirements	4.2.2 Governance for data representativeness	19	Where external or pooled data are used institutions should obtain sufficient information fromthe data providers to assess the representativeness of such external or pooled data to theinstitutions’ own portfolios and processes.	explain this to me as im a 4 year old 	
EBA/GL/2017/35	4. General estimation requirements 	4.2. Data requirements	4.2.3 Representativeness of data for model development	20	Institutions should analyse the representativeness of data in the case of statistical models andother mechanical methods used to assign exposures to grades or pools, as well as in the caseof statistical default prediction models generating default probability estimates for individualobligors or facilities. Institutions should select an appropriate dataset for the purpose ofmodel development to ensure that the performance of the model on the applicationportfolio, in particular its discriminatory power, is not significantly hindered by insufficientrepresentativeness of data.	explain this to me as im a 4 year old 	
EBA/GL/2017/36	4. General estimation requirements 	4.2. Data requirements	4.2.3 Representativeness of data for model development	21	For the purposes of ensuring that the data used in developing the model for assigning obligorsor exposures to grades or pools is representative of the application portfolio covered by therelevant model, as required in Article 174(c) of Regulation (EU) No 575/2013 and Article 40(2)of the RTS on IRB assessment methodology institutions should analyse the representativenessof the data at the stage of model development in terms of all of the following:(a) the scope of application;(b) the definition of default;(c) the distribution of the relevant risk characteristics;(d) lending standards and recovery policies.	explain this to me as im a 4 year old 	
EBA/GL/2017/37	4. General estimation requirements 	4.2. Data requirements	4.2.3 Representativeness of data for model development	22	For the purpose of paragraph 21(a) institutions should analyse the segmentation of exposuresand consider whether there were any changes to the scope of application of the consideredmodel over the period covered by the data used in developing the model for assigningobligors or exposures to grades or pools. Where such changes were observed institutionsshould analyse the risk drivers relevant for the change of the scope of application of themodel by comparing their distribution in the RDS before and after the change as well as withthe distribution of those risk drivers in the application portfolio. For this purpose institutionsshould apply statistical methodologies such as cluster analysis or similar techniques todemonstrate representativeness. In the case of pooled models the analysis should beperformed with regard to the part of the scope of the model that is used by an institution.	explain this to me as im a 4 year old 	
EBA/GL/2017/38	4. General estimation requirements 	4.2. Data requirements	4.2.3 Representativeness of data for model development	23	For the purpose of paragraph 21(b) institutions should ensure that the definition of defaultunderlying the data used for model development is consistent over time and, in particular,that it is consistent with all of the following:(a) that adjustments have been made to achieve consistency with the current defaultdefinition where the default definition has been changed during the observation period;(b) that adequate measures have been adopted by the institution, where the model coversexposures in several jurisdictions having or having had different default definitions;(c) that the definition of default in each data source has been analysed separately;(d) that the definition of default used for the purposes of model development does not havea negative impact on the structure and performance of the rating model, in terms of riskdifferentiation and predictive power, where this definition is different from the definitionof default used by the institution in accordance with Article 178 of Regulation (EU) No575/2013.	explain this to me as im a 4 year old 	
EBA/GL/2017/39	4. General estimation requirements 	4.2. Data requirements	4.2.3 Representativeness of data for model development	24	For the purpose of paragraph 21(c) institutions should analyse the distribution and range ofvalues of key risk characteristics of the data used in developing the model for riskdifferentiation in comparison with the application portfolio. With regard to LGD models,institutions should perform such analysis separately for non-defaulted and defaultedexposures.	explain this to me as im a 4 year old 	
EBA/GL/2017/40	4. General estimation requirements 	4.2. Data requirements	4.2.3 Representativeness of data for model development	25	Institutions should analyse the representativeness of the data in terms of the structure of theportfolio by relevant risk characteristics based on statistical tests specified in their policies toensure that the range of values observed on these risk characteristics in the applicationportfolio is adequately reflected in the development sample. Where the application ofstatistical tests is not possible, institutions should carry out at least a qualitative analysis onthe basis of the descriptive statistics of the structure of the portfolio, taking into account thepossible seasoning effects referred to in Article 180(2)(f) of Regulation (EU) No 575/2013.When considering the results of this analysis, institutions should take into account thesensitivity of the risk characteristics to economic conditions. Material differences in the keyrisk characteristics between the data sample and the application portfolio should be addressed, for example by using another data sample or a subset of observations or byadequately reflecting these risk characteristics as risk drivers in the model.	explain this to me as im a 4 year old 	
EBA/GL/2017/41	4. General estimation requirements 	4.2. Data requirements	4.2.3 Representativeness of data for model development	26	For the purpose of paragraph 21(d) institutions should analyse whether, over the relevanthistorical observation period, there were significant changes in their lending standards orrecovery policies or in the relevant legal environment, including changes in insolvency law,legal foreclosure procedures and any legal regulations related to realisation of collaterals,which may influence the level of risk or the distribution or ranges of the risk characteristics inthe portfolio covered by the considered model. Where institutions observe such changes theyshould compare the data included in the RDS before and after the change of the policy.Institutions should ensure comparability of the current underwriting or recovery standardswith those applied to the observations included in the RDS and used for model development.	explain this to me as im a 4 year old 	
EBA/GL/2017/42	4. General estimation requirements 	4.2. Data requirements	4.2.3 Representativeness of data for model development	27	Within the PD model the representativeness of data used in developing the model for riskdifferentiation does not require that the proportion of defaulted and non-defaultedexposures in this dataset be equal to the proportion of defaulted and non-defaultedexposures in the institution’s application portfolio. However, institutions should have asufficient number of defaulted and non-defaulted observations in the development datasetand they should document the difference.	explain this to me as im a 4 year old 	
EBA/GL/2017/43	4. General estimation requirements 	4.2. Data requirements	4.2.4 Representativeness of data for calibration of risk parameters	28	In order for institutions to ensure that the data used in risk quantification is representative ofthe application portfolio covered by the relevant model in accordance with Sub-section 2 ofSection 6 of Chapter 3 in Part Three of Regulation (EU) No 575/2031 and Article 45(2) of theRTS on IRB assessment methodology, institutions should analyse the comparability of the dataused for the purpose of calculating long-run average default rates or long-run average LGDsas referred to in Article 179(1)(d) of Regulation (EU) No 575/2013 and, where relevant, therepresentativeness of the pool in accordance with Article 179(2)(b) of that Regulation, interms of all of the following:(a) the scope of application;(b) the definition of default;(c) the distribution of the relevant risk characteristics;(d) the current and foreseeable economic or market conditions;(e) lending standards and recovery policies.	explain this to me as im a 4 year old 	
EBA/GL/2017/44	4. General estimation requirements 	4.2. Data requirements	4.2.4 Representativeness of data for calibration of risk parameters	29	For the purpose of paragraph 28(a) institutions should perform an analysis as specified inparagraph 22.	explain this to me as im a 4 year old 	
EBA/GL/2017/45	4. General estimation requirements 	4.2. Data requirements	4.2.4 Representativeness of data for calibration of risk parameters	30	For the purpose of paragraph 28(b) and in order to ensure that the definition of defaultunderlying the data used for risk quantification from each data source is consistent with therequirements of Article 178 of Regulation (EU) No 575/2013, institutions should compare thedefinition of default applied by the institution currently with the definitions used for theobservations included in the dataset used for risk quantification. Where the definition ofdefault has changed during the historical observation period institutions should assess therepresentativeness of historical data included in the RDS and used for risk quantification inthe same way as specified for external data in Chapter 6 of the EBA Guidelines on theapplication of the definition of default under Article 178 of Regulation (EU) No 575/2013.Where the definition of default has changed during the historical observation period morethan once, institutions should perform the analysis of each of the past definitions of defaultseparately.	explain this to me as im a 4 year old 	
EBA/GL/2017/46	4. General estimation requirements 	4.2. Data requirements	4.2.4 Representativeness of data for calibration of risk parameters	31	For the purpose of paragraph 28(c) institutions should perform an appropriate analysis toensure that at the level of the calibration segment the ranges of values of the key riskcharacteristics in the application portfolio are comparable to those in the portfolioconstituting the reference data set for risk quantification to the degree required to ensurethat the risk quantification is not biased.	explain this to me as im a 4 year old 	
EBA/GL/2017/47	4. General estimation requirements 	4.2. Data requirements	4.2.4 Representativeness of data for calibration of risk parameters	32	For the purpose of paragraph 28(d) institutions should perform the analysis of the market andeconomic conditions underlying the data in the following manner:(a) with regard to the PD estimation, in accordance with section 5.3.4;(b) with regard to the LGD estimation, in accordance with section 6.3.2 and taking intoaccount the consideration of economic downturn as required by Article 181(1)(b) ofRegulation (EU) No 575/2013.	explain this to me as im a 4 year old 	
EBA/GL/2017/48	4. General estimation requirements 	4.2. Data requirements	4.2.4 Representativeness of data for calibration of risk parameters	33	For the purpose of paragraph 28(e) institutions should analyse whether there were significantchanges in the lending standards or recovery policies over the relevant historical observationperiod that may influence the level of risk or the distribution or ranges of the characteristicsof relevant risk drivers in the portfolio covered by the considered model. Where institutionsobserve such changes they should analyse the potential bias in the estimates of riskparameters resulting from these changes in the following manner:(c) with regard to the PD estimation, in terms of the level of default rates and the likely rangeof variability of default rates;(d) with regard to the LGD estimation, in terms of loss rates, average duration of therecovery processes, frequencies of use of certain recovery scenarios and the loss severitydistributions.	explain this to me as im a 4 year old 	
EBA/GL/2017/49	4. General estimation requirements 	4.2. Data requirements	4.2.4 Representativeness of data for calibration of risk parameters	34	Where the representativeness of data assessed in accordance with paragraphs 28 to 33 isinsufficient and leads to a bias or increased uncertainty of risk quantification, institutionsshould introduce an appropriate adjustment to correct the bias and they should apply amargin of conservatism in accordance with section 4.4.	explain this to me as im a 4 year old 	
EBA/GL/2017/50	4. General estimation requirements 	4.3 Human judgement in estimation of risk parameters	-	35	In order for institutions to complement their statistical models with human judgement, asreferred to in Articles 174(b), 174(e), 175(4), 179(1)(a) and 180(1)(d) of Regulation (EU) No575/2013, they should do all of the following:(a) assess the modelling assumptions and whether the selected risk drivers contribute to therisk assessment in line with their economic meaning;(b) analyse the impact of the human judgement on the performance of the model and ensurethat any form of human judgement is properly justified;(c) document the application of human judgement in the model, including at least thecriteria for the assessment, rationale, assumptions, experts involved and description ofthe process.	explain this to me as im a 4 year old 	
EBA/GL/2017/51	4. General estimation requirements 	4.4 Treatment of deficiencies and margin of conservatism	4.4.1 Identification of deficiencies	36	Institutions should identify all deficiencies related to the estimation of risk parameters thatlead to a bias in the quantification of those parameters or to an increased uncertainty that isnot fully captured by the general estimation error, and classify each deficiency into one of thefollowing categories:(a) Category A: Identified data and methodological deficiencies;(b) Category B: Relevant changes to underwriting standards, risk appetite, collection andrecovery policies and any other source of additional uncertainty.	explain this to me as im a 4 year old 	
EBA/GL/2017/52	4. General estimation requirements 	4.4 Treatment of deficiencies and margin of conservatism	4.4.1 Identification of deficiencies	37	For the purposes of identifying and classifying all deficiencies referred to in paragraph 36institutions should take into account all relevant deficiencies in methods, processes, controls,data or IT systems that have been identified by the credit risk control unit, validation function,internal audit function or any other internal or external review and should analyse at least allof the following potential sources of additional uncertainty in risk quantification:(a) under category A:(i) missing or materially changed default triggers in historical observations, includingchanged criteria for recognition of materially past due credit obligations;(ii) missing or inaccurate date of default;(iii) missing, inaccurate or outdated rating assignment used for assessing historical gradesor pools for the purpose of calculation of default rates or average realised LGDs pergrade or pool;(iv) missing or inaccurate information on the source of cash flows;(v) missing, inaccurate or outdated data on risk drivers and rating criteria;(vi) missing or inaccurate information used for the estimation of future recoveries asreferred to in paragraph 159;(vii) missing or inaccurate data for the calculation of economic loss;(viii) limited representativeness of the historical observations due to the use ofexternal data;(ix) potential bias stemming from the choice of the approach to calculating the average ofobserved one year default rates in accordance with paragraph 80;(x) necessity of adjusting the average of observed one-year default rates in accordancewith paragraph 86;(xi) missing information for the purpose of estimating loss rates or for the purpose ofreflecting economic downturn in LGD estimates;(b) under category B:(i) changes to underwriting standards, collection or recovery policies, risk appetite orother relevant internal processes;(ii) unjustified deviations in the ranges of values of the key risk characteristics of theapplication portfolio compared with those of the dataset used for risk quantification;(iii) changes to market or legal environment;(iv) forward-looking expectations regarding potential changes in the structure of theportfolio or the level of risk, especially based on actions or decisions that have alreadybeen taken but which are not reflected in the observed data.	explain this to me as im a 4 year old 	
EBA/GL/2017/53	4. General estimation requirements 	4.4 Treatment of deficiencies and margin of conservatism	4.4.2 Appropriate adjustment	38	In order to overcome biases in risk parameter estimates stemming from the identifieddeficiencies referred to in paragraphs 36 and 37, institutions should apply adequatemethodologies to correct the identified deficiencies to the extent possible. The impact ofthese methodologies on the risk parameter (‘appropriate adjustment’), which should result ina more accurate estimate of the risk parameter (‘best estimate’), represents either anincrease or a decrease in the value of the risk parameter. Institutions should ensure andprovide evidence that the application of an appropriate adjustment results in a best estimate.	explain this to me as im a 4 year old 	
EBA/GL/2017/54	4. General estimation requirements 	4.4 Treatment of deficiencies and margin of conservatism	4.4.2 Appropriate adjustment	39	Institutions should document the methods used to apply appropriate adjustments to rectifythe identified deficiencies, where relevant, as well as their justification.	explain this to me as im a 4 year old 	
EBA/GL/2017/55	4. General estimation requirements 	4.4 Treatment of deficiencies and margin of conservatism	4.4.2 Appropriate adjustment	40	 Institutions should regularly monitor the adequacy of appropriate adjustments. The adoptionof an appropriate adjustment by institutions should not replace the need to address theidentified deficiencies.	explain this to me as im a 4 year old 	
EBA/GL/2017/56	4. General estimation requirements 	4.4 Treatment of deficiencies and margin of conservatism	4.4.3 Margin of conservatism	41	In relation to the requirement that institutions should add a margin of conservatism (‘MoC’)that is related to the expected range of estimation errors as required by Articles 179(1)(f) and180(1)(e) of Regulation (EU) No 575/2013, institutions should implement a framework forquantification, documentation and monitoring of estimation errors.	explain this to me as im a 4 year old 	
EBA/GL/2017/57	4. General estimation requirements 	4.4 Treatment of deficiencies and margin of conservatism	4.4.3 Margin of conservatism	42	The final MoC on a risk parameter estimate should reflect the uncertainty of the estimation inall of the following categories:Category A: MoC related to data and methodological deficiencies identified under categoryA as referred to in paragraph 36(a);Category B: MoC related to relevant changes to underwriting standards, risk appetite,collection and recovery policies and any other source of additional uncertainty identifiedunder category B as referred to in paragraph 36(b);Category C: the general estimation error.	explain this to me as im a 4 year old 	
EBA/GL/2017/58	4. General estimation requirements 	4.4 Treatment of deficiencies and margin of conservatism	4.4.3 Margin of conservatism	43	In order to quantify MoC institutions should do all of the following:(a) quantify MoC for the identified deficiencies referred to in paragraphs 36 and 37, tothe extent not covered by the general estimation error, at least for each of thecategories A and B at the level of the calibration segment ensuring that:(i) where appropriate adjustments in the sense of paragraph 38 are used, the MoCaccounts for any increase in the uncertainty or additional estimation errorassociated with these adjustments;(ii) the MoC at category level related to the appropriate adjustments is proportionateto the uncertainty around these adjustments;(iii) the MoC is applied to address the uncertainty of the risk parameter estimatestemming from any deficiencies among those referred to in paragraphs 36 and 37that have not been corrected via appropriate adjustments as referred to in point(i);(b) quantify the general estimation error of category C referred to in paragraph 42associated with the underlying estimation method at least for every calibrationsegment; the MoC for the general estimation error should reflect the dispersion ofthe distribution of the statistical estimator.	explain this to me as im a 4 year old 	
EBA/GL/2017/59	4. General estimation requirements 	4.4 Treatment of deficiencies and margin of conservatism	4.4.3 Margin of conservatism	44	For the purpose of paragraph 43(a) and for each of the categories A and B, institutions maygroup all or selected deficiencies, where justified, for the purpose of quantifying MoC.	explain this to me as im a 4 year old 	
EBA/GL/2017/60	4. General estimation requirements 	4.4 Treatment of deficiencies and margin of conservatism	4.4.3 Margin of conservatism	45	Institutions should quantify the final MoC as the sum of:(a) the MoC under category A as referred to in paragraph 43(a);(b) the MoC under category B as referred to in paragraph 43(a);(c) the MoC for the general estimation error (category C) as referred to in paragraph43(b).	explain this to me as im a 4 year old 	
EBA/GL/2017/61	4. General estimation requirements 	4.4 Treatment of deficiencies and margin of conservatism	4.4.3 Margin of conservatism	46	Institutions should add the final MoC to the best estimate of the risk parameter.	explain this to me as im a 4 year old 	
EBA/GL/2017/62	4. General estimation requirements 	4.4 Treatment of deficiencies and margin of conservatism	4.4.3 Margin of conservatism	47	Institutions should ensure that the impact of the final MoC does not result in lowering the riskparameter estimates and in particular that:(a) the MoC stemming from the general estimation error is greater than zero;(b) the MoC stemming from each of the categories A and B is proportionate to theincreased uncertainty in the best estimate of risk parameters caused by the identifieddeficiencies listed in each category. In any case, the MoC under each of the categoriesA and B should be greater than or equal to zero.	explain this to me as im a 4 year old 	
EBA/GL/2017/63	4. General estimation requirements 	4.4 Treatment of deficiencies and margin of conservatism	4.4.3 Margin of conservatism	48	Institutions should consider the overall impact of the identified deficiencies and the resultingfinal MoC on the soundness of the model and ensure that the estimates of the riskparameters and the resulting own funds requirements are not distorted by the necessity forexcessive adjustments.	explain this to me as im a 4 year old 	
EBA/GL/2017/64	4. General estimation requirements 	4.4 Treatment of deficiencies and margin of conservatism	4.4.3 Margin of conservatism	49	For each rating system, the MoC applied should be documented in the relevant modeldocumentation and methodology manuals. The documentation should contain at least thefollowing:(a) a complete list of all identified deficiencies, including errors and uncertainties, and thepotentially affected model components or risk parameters;(b) the category under which these deficiencies are classified, as referred to in paragraph 42;(c) a description of the methods for quantification of the MoC related to identifieddeficiencies as referred to in paragraph 43(a) and in particular the methodologies used toquantify the MoC per category.	explain this to me as im a 4 year old 	
EBA/GL/2017/65	4. General estimation requirements 	4.4 Treatment of deficiencies and margin of conservatism	4.4.3 Margin of conservatism	50	Institutions should regularly monitor the levels of the MoC. The adoption of a MoC byinstitutions should not replace the need to address the causes of errors or uncertainties, or tocorrect the models to ensure their full compliance with the requirements of Regulation (EU)No 575/2013. Following an assessment of the deficiencies or the sources of uncertainty,institutions should develop a plan to rectify the data and methodological deficiencies as wellas any other potential source of additional uncertainty and reduce the estimation errorswithin a reasonable timeframe, taking into consideration the materiality of the estimationerror and the materiality of the rating system.	explain this to me as im a 4 year old 	
EBA/GL/2017/66	4. General estimation requirements 	4.4 Treatment of deficiencies and margin of conservatism	4.4.3 Margin of conservatism	51	When reviewing the levels of the MoC institutions should ensure all of the following:(a) that the MoC stemming from categories A and B referred to in paragraphs 36 and 37 isincluded in internal reporting separately for each category and may be reduced over timeand eventually eliminated once the deficiencies are rectified in all parts of the ratingsystem that were affected;(b) that the MoC stemming from the general estimation error referred to in paragraph 43(b)is included in internal reporting in a separate category (’C’);(c) that the level of the MoC is assessed as part of the regular reviews referred to in Chapter9 and in particular that the level of MoC related to the general estimation error remainsappropriate after the inclusion of the most recent data relevant for the risk parameterestimation.	explain this to me as im a 4 year old 	
EBA/GL/2017/67	4. General estimation requirements 	4.4 Treatment of deficiencies and margin of conservatism	4.4.3 Margin of conservatism	52	Institutions should ensure that necessary changes in the MoC are implemented in a timelymanner.	explain this to me as im a 4 year old 	
EBA/GL/2017/68	5. PD Estimation	5.1. General requirements specific to PD estimation	-	53	For the purpose of assigning obligors to an obligor grade as part of the credit approval processin accordance with Article 172(1)(a) of Regulation (EU) No 575/2013 as well as for thepurpose of the review of those assignments, in accordance with Article 173(1)(b) of thatRegulation, institutions should ensure that each and every natural or legal person towardswhom an IRB exposure exists is rated by the institution with the model approved to be usedon a given type of exposures. This model should fit the single original obligor within theapplicable rating system, including exposures secured by unfunded credit protection asreferred to in Article 161(3) of that Regulation.	explain this to me as im a 4 year old 	
EBA/GL/2017/69	5. PD Estimation	5.1. General requirements specific to PD estimation	-	54	For the purpose of assigning retail exposures to a grade or pool as part of the credit approvalprocess in accordance with Article 172(2) of Regulation (EU) No 575/2013 as well as for thepurpose of the review of those assignments in accordance with Article 173(2) of thatRegulation, institutions should ensure that each and every IRB exposure is rated by theinstitution with the model approved to be used on a given type of exposures. This modelshould fit the single original obligor or exposure within the applicable rating system, includingexposures secured by unfunded credit protection as referred to in Article 164(2) of thatRegulation.	explain this to me as im a 4 year old 	
EBA/GL/2017/70	5. PD Estimation	5.1. General requirements specific to PD estimation	-	55	A PD model can contain several different methods for ranking the obligors or exposures aswell as various calibration segments.	explain this to me as im a 4 year old 	
EBA/GL/2017/71	5. PD Estimation	5.2. Model development in PD estimation	5.2.1 Data requirements specific for model development	56	For the purpose of model development, institutions should ensure that the RDS contains thevalues of the risk drivers for appropriate points in time. These points in time may varybetween different risk drivers. In the selection of appropriate points in time institutionsshould take into account the dynamics as well as the update frequency of the risk driversthroughout the whole period in which an obligor was in the portfolio and, in the case of adefault, throughout the year prior to default.	explain this to me as im a 4 year old 	
EBA/GL/2017/72	5. PD Estimation	5.2. Model development in PD estimation	5.2.2. Risk drivers and rating criteria	57	In the process of selecting risk drivers and rating criteria, institutions should consider a broadset of information relevant to the type of exposures covered by the rating system. Potentialrisk drivers analysed by institutions should include in particular the following:(a) obligor characteristics, including sector and geographic location for corporates;(b) financial information, including financial statements or income statements;(c) trend information, including growing or shrinking sales or profit margin;(d) behavioural information, including delinquency and the use of credit facilities.	explain this to me as im a 4 year old 	
EBA/GL/2017/73	5. PD Estimation	5.2. Model development in PD estimation	5.2.2. Risk drivers and rating criteria	58	Institutions should ensure that for the purpose of selecting risk drivers and rating criteria therelevant experts from business areas of the institution are consulted with respect to thebusiness rationale and risk contribution of the considered risk drivers and rating criteria.	explain this to me as im a 4 year old 	
EBA/GL/2017/74	5. PD Estimation	5.2. Model development in PD estimation	5.2.2. Risk drivers and rating criteria	59	Institutions should ensure that the decrease of reliability of information over time, forinstance of information on obligor characteristics obtained at the time of the loan origination,is appropriately reflected in the PD estimation. Institutions should also ensure that the modelestimates the proper level of risk with respect to all relevant, currently available and most up-to-date information and that an adequate MoC is applied where a higher degree ofuncertainty exists due to the lack of up-to-date information. In particular the model or theassignment process should provide for an adequate and conservative adjustment in both ofthe following situations:(a) in accordance with Article 24(1)(g) of the RTS on IRB assessment methodology, in case offinancial statements older than 24 months where information stemming from thesefinancial statements is a relevant risk driver;(b) in the case of credit bureau information that is older than 24 months, if still relevant atthat point in time, where credit bureau information is a relevant risk driver.	explain this to me as im a 4 year old 	
EBA/GL/2017/75	5. PD Estimation	5.2. Model development in PD estimation	5.2.2. Risk drivers and rating criteria	60	Institutions should use the risk drivers and rating criteria consistently, in particular withrespect to the considered time horizon, in model development, model calibration and modelapplication.	explain this to me as im a 4 year old 	
